epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4703.38,1.07131,1.76358,1.01847,0.5356,0.38286,0.39583,0.272,0.90927,1.13177,0.9427,0.003332,0.003332,0.003332
2,8947.23,0.9918,1.15575,0.9742,0.67571,0.40299,0.44482,0.30568,0.87755,0.98541,0.93629,0.00653336,0.00653336,0.00653336
3,13323.1,1.00038,1.03977,0.9831,0.62851,0.4432,0.45517,0.31008,0.88047,0.86421,0.94888,0.00960272,0.00960272,0.00960272
4,17272.8,0.98168,0.94397,0.9821,0.61856,0.50552,0.52212,0.35855,0.83468,0.75468,0.9306,0.009406,0.009406,0.009406
5,21376,0.93435,0.85346,0.96441,0.55985,0.51696,0.5431,0.37856,0.80269,0.71754,0.92004,0.009208,0.009208,0.009208
6,25383.4,0.90127,0.80366,0.95302,0.57855,0.54885,0.57853,0.40607,0.77636,0.661,0.91138,0.00901,0.00901,0.00901
7,29631.4,0.88293,0.77368,0.94541,0.62538,0.57403,0.6134,0.43779,0.7554,0.63034,0.90084,0.008812,0.008812,0.008812
8,33579,0.86637,0.74714,0.93871,0.65864,0.5681,0.63133,0.45161,0.74405,0.61048,0.89693,0.008614,0.008614,0.008614
9,37804.3,0.85333,0.73048,0.9345,0.66625,0.58629,0.64325,0.46836,0.72896,0.58967,0.88972,0.008416,0.008416,0.008416
10,41861.1,0.8441,0.71382,0.9309,0.6561,0.60359,0.66304,0.47797,0.72174,0.58104,0.88941,0.008218,0.008218,0.008218
11,45806.7,0.83444,0.7033,0.92748,0.65228,0.62077,0.67009,0.49342,0.71343,0.57122,0.88663,0.00802,0.00802,0.00802
12,49842.5,0.82846,0.69441,0.92578,0.65319,0.62897,0.68154,0.49951,0.70788,0.5616,0.88307,0.007822,0.007822,0.007822
13,53985.9,0.82014,0.68229,0.92308,0.66839,0.65098,0.69012,0.50897,0.69765,0.54862,0.88161,0.007624,0.007624,0.007624
14,57815.1,0.81359,0.67415,0.91994,0.67189,0.63525,0.69012,0.51086,0.69538,0.54409,0.88002,0.007426,0.007426,0.007426
15,61851.5,0.80956,0.66595,0.9187,0.70103,0.63377,0.6984,0.51929,0.69113,0.53966,0.87747,0.007228,0.007228,0.007228
16,65931.5,0.80304,0.65754,0.91668,0.6923,0.65561,0.70811,0.52374,0.68753,0.53343,0.87655,0.00703,0.00703,0.00703
17,70579.8,0.799,0.65273,0.91497,0.70675,0.65708,0.71147,0.52983,0.68381,0.52889,0.8747,0.006832,0.006832,0.006832
18,75312.4,0.79453,0.64776,0.91333,0.69618,0.64124,0.71516,0.53453,0.68095,0.52493,0.87348,0.006634,0.006634,0.006634
19,82158.9,0.79065,0.64101,0.91141,0.7201,0.64439,0.71924,0.53796,0.6776,0.52095,0.87203,0.006436,0.006436,0.006436
20,88232.9,0.78428,0.63473,0.90976,0.72677,0.63872,0.72235,0.54193,0.67535,0.51784,0.87098,0.006238,0.006238,0.006238
21,92137,0.78029,0.62862,0.90844,0.71757,0.64904,0.72516,0.54397,0.67342,0.51494,0.86978,0.00604,0.00604,0.00604
22,96405.5,0.78051,0.62673,0.90798,0.72415,0.65463,0.72736,0.54719,0.67115,0.51279,0.86913,0.005842,0.005842,0.005842
23,100555,0.77515,0.61973,0.90607,0.71987,0.66029,0.72832,0.54842,0.66934,0.51073,0.86862,0.005644,0.005644,0.005644
24,104808,0.76997,0.61358,0.90375,0.72537,0.66372,0.72909,0.54957,0.66814,0.50903,0.86805,0.005446,0.005446,0.005446
25,109116,0.76403,0.60672,0.90172,0.72088,0.66367,0.73036,0.55096,0.66694,0.50707,0.86754,0.005248,0.005248,0.005248
26,112966,0.7637,0.60367,0.90118,0.72492,0.66037,0.73071,0.55115,0.66595,0.50537,0.86707,0.00505,0.00505,0.00505
27,116720,0.76065,0.59964,0.90074,0.72285,0.66279,0.73167,0.55245,0.66503,0.50391,0.86674,0.004852,0.004852,0.004852
28,120743,0.75698,0.59535,0.89921,0.73406,0.65795,0.73208,0.55282,0.66418,0.50243,0.86631,0.004654,0.004654,0.004654
29,124774,0.75266,0.59073,0.89735,0.73097,0.66441,0.73276,0.55466,0.66324,0.50103,0.86585,0.004456,0.004456,0.004456
30,128689,0.7512,0.58774,0.89656,0.73239,0.66859,0.73362,0.55571,0.66245,0.49975,0.86546,0.004258,0.004258,0.004258
31,132542,0.7467,0.58272,0.89577,0.73521,0.6674,0.73415,0.55635,0.66169,0.49867,0.865,0.00406,0.00406,0.00406
32,136511,0.74475,0.579,0.89494,0.73171,0.67367,0.73472,0.55792,0.66085,0.49747,0.86454,0.003862,0.003862,0.003862
33,140374,0.74076,0.57523,0.89321,0.73137,0.67571,0.73574,0.55907,0.66003,0.49633,0.86415,0.003664,0.003664,0.003664
34,144205,0.73538,0.56926,0.89155,0.73349,0.67334,0.73616,0.55951,0.65922,0.49521,0.86373,0.003466,0.003466,0.003466
35,148311,0.7344,0.56633,0.8916,0.73287,0.67483,0.73708,0.561,0.65847,0.49397,0.86343,0.003268,0.003268,0.003268
36,152691,0.73093,0.56135,0.88979,0.73383,0.67434,0.7386,0.56205,0.65771,0.4927,0.86301,0.00307,0.00307,0.00307
37,157820,0.72637,0.55549,0.88886,0.73326,0.67442,0.74001,0.5632,0.65694,0.49147,0.86269,0.002872,0.002872,0.002872
38,162840,0.72173,0.55147,0.88672,0.73499,0.67337,0.74052,0.56399,0.65613,0.49008,0.86225,0.002674,0.002674,0.002674
39,170518,0.7182,0.54831,0.88611,0.73579,0.67441,0.74156,0.56544,0.65528,0.48871,0.86185,0.002476,0.002476,0.002476
40,177832,0.7146,0.54157,0.88404,0.73543,0.67633,0.74257,0.56622,0.65445,0.48737,0.86142,0.002278,0.002278,0.002278
41,184028,0.68964,0.5002,0.86971,0.73504,0.67791,0.7429,0.56687,0.65381,0.48616,0.86101,0.00208,0.00208,0.00208
42,188836,0.68057,0.49094,0.86671,0.73539,0.67969,0.74479,0.5677,0.65287,0.48483,0.86061,0.001882,0.001882,0.001882
43,193473,0.67741,0.48633,0.86655,0.73034,0.68461,0.74604,0.56857,0.65197,0.48335,0.86025,0.001684,0.001684,0.001684
44,198032,0.67195,0.48187,0.86357,0.73358,0.68164,0.74774,0.56965,0.6511,0.48192,0.85982,0.001486,0.001486,0.001486
45,202642,0.66658,0.47374,0.86228,0.73221,0.68254,0.74836,0.57088,0.65023,0.48052,0.85947,0.001288,0.001288,0.001288
46,207263,0.66048,0.46856,0.86067,0.73335,0.68091,0.74969,0.57187,0.64942,0.47917,0.85909,0.00109,0.00109,0.00109
47,211842,0.65682,0.46301,0.85924,0.73389,0.6801,0.75,0.57281,0.6486,0.47788,0.85873,0.000892,0.000892,0.000892
48,216405,0.65196,0.45805,0.85793,0.73558,0.68136,0.75055,0.57408,0.64776,0.47666,0.85834,0.000694,0.000694,0.000694
49,220966,0.64649,0.45235,0.8557,0.73429,0.68628,0.75132,0.5753,0.64701,0.47544,0.85788,0.000496,0.000496,0.000496
50,225547,0.64164,0.44578,0.85488,0.73509,0.68661,0.75322,0.5768,0.64627,0.47427,0.85751,0.000298,0.000298,0.000298
