epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5651.67,0.97932,1.40312,0.97569,1,0.99905,0.99472,0.99461,0.8012,0.74225,0.90489,0.00333275,0.00333275,0.00333275
2,11694.3,0.88964,0.85286,0.93672,1,0.99905,0.99458,0.99449,0.72427,0.60572,0.88134,0.00663308,0.00663308,0.00663308
3,17664.1,0.88999,0.78916,0.94123,1,0.99905,0.9945,0.99445,0.71301,0.58311,0.88428,0.00990042,0.00990042,0.00990042
4,23654.2,0.86688,0.7476,0.93767,1,0.99905,0.99453,0.99447,0.69439,0.55967,0.87975,0.0098515,0.0098515,0.0098515
5,29632.9,0.83154,0.69577,0.92481,1,0.99905,0.99474,0.99458,0.68284,0.55,0.87551,0.009802,0.009802,0.009802
6,35616.2,0.81287,0.67179,0.91799,1,0.99905,0.9946,0.99452,0.67675,0.55144,0.87327,0.0097525,0.0097525,0.0097525
7,41594.3,0.80081,0.65379,0.91269,1,0.99905,0.9944,0.99438,0.67267,0.55553,0.87169,0.009703,0.009703,0.009703
8,47583,0.7925,0.6429,0.90943,1,0.99905,0.99461,0.99453,0.66822,0.55699,0.86945,0.0096535,0.0096535,0.0096535
9,53552.6,0.78659,0.63493,0.9071,1,0.99905,0.99474,0.99462,0.66353,0.55288,0.86676,0.009604,0.009604,0.009604
10,60078.7,0.78236,0.62977,0.90509,1,0.99905,0.99471,0.9946,0.65866,0.54293,0.86383,0.0095545,0.0095545,0.0095545
11,69121.5,0.77943,0.62546,0.90448,1,0.99905,0.99463,0.99452,0.65409,0.53135,0.86146,0.009505,0.009505,0.009505
12,76206.5,0.7759,0.62123,0.90315,1,0.99905,0.99476,0.99464,0.65011,0.51915,0.85942,0.0094555,0.0094555,0.0094555
13,82214.3,0.77418,0.61892,0.90248,1,0.99905,0.99481,0.99468,0.64648,0.50831,0.85767,0.009406,0.009406,0.009406
14,88195.2,0.77237,0.61492,0.90153,1,0.99905,0.99485,0.9947,0.64338,0.49889,0.8564,0.0093565,0.0093565,0.0093565
15,94194.6,0.77044,0.6124,0.90066,1,0.99905,0.99486,0.99471,0.64105,0.49103,0.85506,0.009307,0.009307,0.009307
16,100175,0.7682,0.61046,0.89981,1,0.99905,0.9949,0.99473,0.63899,0.48472,0.85401,0.0092575,0.0092575,0.0092575
17,106154,0.76693,0.60849,0.89927,1,0.99905,0.99493,0.99476,0.63753,0.4802,0.8533,0.009208,0.009208,0.009208
18,112153,0.7658,0.60634,0.89923,1,0.99905,0.99493,0.9947,0.6365,0.47676,0.85276,0.0091585,0.0091585,0.0091585
19,118123,0.76444,0.60516,0.89855,1,0.99905,0.99493,0.99476,0.63524,0.47367,0.85239,0.009109,0.009109,0.009109
20,124093,0.76316,0.60284,0.89739,1,0.99905,0.9949,0.99474,0.63425,0.47152,0.85161,0.0090595,0.0090595,0.0090595
21,130064,0.76165,0.60167,0.897,1,0.99905,0.9949,0.99473,0.63317,0.46957,0.85088,0.00901,0.00901,0.00901
22,136073,0.76216,0.60046,0.8968,1,0.99905,0.9949,0.99474,0.63223,0.46768,0.85014,0.0089605,0.0089605,0.0089605
23,142036,0.76049,0.59895,0.89679,1,0.99905,0.99487,0.99471,0.63106,0.46637,0.84972,0.008911,0.008911,0.008911
24,148017,0.75847,0.59713,0.89621,1,0.99905,0.99483,0.99464,0.63037,0.4652,0.84949,0.0088615,0.0088615,0.0088615
25,154008,0.75779,0.59571,0.89545,1,0.99905,0.99484,0.99463,0.62967,0.46441,0.84909,0.008812,0.008812,0.008812
26,160012,0.75713,0.59479,0.89487,1,0.99905,0.99483,0.99463,0.62926,0.46348,0.84846,0.0087625,0.0087625,0.0087625
27,165995,0.75694,0.59438,0.89511,1,0.99905,0.99484,0.99463,0.62912,0.46259,0.84821,0.008713,0.008713,0.008713
28,171971,0.75553,0.59269,0.89465,1,0.99905,0.99486,0.99463,0.62854,0.46179,0.84807,0.0086635,0.0086635,0.0086635
29,177957,0.75504,0.59198,0.89454,1,0.99905,0.99489,0.99464,0.62809,0.46114,0.84795,0.008614,0.008614,0.008614
30,183959,0.75468,0.59142,0.89433,1,0.99905,0.9949,0.99466,0.6274,0.46014,0.84777,0.0085645,0.0085645,0.0085645
31,189953,0.75326,0.5901,0.8939,1,0.99905,0.9949,0.99462,0.62675,0.45953,0.84744,0.008515,0.008515,0.008515
32,195928,0.7527,0.58971,0.89384,1,0.99905,0.9949,0.99462,0.6264,0.45896,0.84708,0.0084655,0.0084655,0.0084655
